material_id,material_name,material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg
1,Recycled Corrugated Cardboard,Paper,35.47,4.82,90,1.18,82,62.15
2,Kraft Paper,Paper,28.64,3.25,87,0.98,78,58.42
3,Molded Pulp Tray,Bio,32.18,4.15,88,0.92,89,71.34
4,PLA Bioplastic,Bioplastic,44.73,2.68,76,2.08,58,118.45
5,Glass Bottle,Glass,72.95,1.45,52,3.48,94,152.67
6,HDPE Recycled Plastic,Plastic,58.32,9.87,42,2.75,71,96.82
7,Bamboo Fiber Box,Bio,41.56,4.38,91,0.82,76,108.23
8,Aluminum Can,Metal,79.28,2.14,36,4.18,97,138.45
9,Sugarcane Bagasse Box,Bio,33.72,3.62,89,1.08,87,91.56
10,Cornstarch Biopolymer Film,Bioplastic,21.45,1.22,77,1.88,54,128.34
11,Mushroom-Based Packaging,Bio,48.23,5.45,79,1.45,62,89.67
12,Seaweed Fiber Wrap,Bio,42.87,3.92,82,1.12,68,85.34
13,Cellulose Film Standard,Paper,30.56,2.78,86,1.02,80,52.45
14,Paper Mache Molded,Paper,26.73,3.15,89,0.95,75,48.92
15,Recycled Plastic Blend PET,Plastic,52.45,8.32,44,2.42,73,92.67
16,Starch-based Foam Peanuts,Bio,19.87,1.98,72,1.75,55,76.54
17,Cork Composite Sheet,Composite,45.32,4.68,65,1.92,58,104.23
18,Natural Rubber Padding,Composite,38.92,5.23,68,2.15,62,115.67
19,Recycled Leather Panel,Composite,52.34,3.87,48,2.58,69,128.45
20,Biodegradable Plastic PBAT,Bioplastic,42.67,2.45,75,2.22,61,122.34
21,Jute Fiber Bag Natural,Fiber,35.28,4.92,81,1.28,70,72.45
22,Hemp Paper Industrial,Paper,32.15,3.67,84,1.05,77,54.32
23,Flax-based Container,Fiber,40.23,4.15,80,1.35,72,78.56
24,Reed Weave Tray,Fiber,29.45,3.92,79,1.42,68,64.23
25,Recycled Polyester Fabric,Plastic,55.67,7.45,40,2.68,74,98.45
26,Bio-based PE Low Density,Bioplastic,48.32,3.28,73,2.12,59,116.78
27,Lignin Composite Board,Composite,51.23,4.82,62,1.88,64,95.34
28,Calcium Carbonate Filler,Composite,43.45,4.12,58,2.35,61,87.67
29,Recycled Cotton Padding,Fiber,37.82,5.34,85,1.18,81,69.45
30,Plant-based Resin Coating,Bio,46.73,2.95,77,1.65,66,102.34
31,Mycelium Packaging Material,Bio,47.56,3.67,80,1.42,65,93.45
32,Potato Starch Film Biodegradable,Bio,24.32,2.18,78,1.55,52,82.67
33,Coconut Husk Fiber Pad,Fiber,38.45,4.75,83,1.25,73,71.23
34,Recycled Glass Powder,Composite,49.87,3.45,45,2.78,75,110.56
35,Bio-PE from Sugarcane,Bioplastic,45.23,2.92,74,1.95,60,119.45
36,Bagasse Pulp Board,Paper,31.67,3.28,87,0.98,82,56.78
37,Casein-based Protein Coating,Bio,43.92,3.12,76,1.72,67,98.23
38,Chitin from Shellfish,Bio,39.28,2.87,75,1.85,64,108.34
39,Chitosan Film Natural,Bio,41.45,2.45,77,1.68,68,105.67
40,Seaweed-Calcium Composite,Bio,47.23,3.82,81,1.38,71,99.45
41,Gelatin-based Wrapper,Bio,35.67,2.23,73,1.92,59,112.34
42,Protein Film Edible,Bio,38.45,1.98,74,1.78,62,117.56
43,Cellulose Nanofiber,Composite,52.34,3.67,64,2.05,63,91.23
44,Wood Pulp Composite,Composite,48.56,4.23,61,1.98,62,88.45
45,Recycled Paper Mixed Fiber,Paper,27.89,3.45,88,0.96,79,51.67
46,Soy-based Plastic,Bioplastic,44.12,2.78,72,2.18,57,121.34
47,Algae Fiber Board,Fiber,42.67,4.32,82,1.32,74,76.78
48,Cork Fiber Blend,Composite,46.23,4.67,66,1.88,59,102.45
49,Potato Fiber Padding,Fiber,36.78,5.12,84,1.22,80,68.34
50,Grass-Based Board Material,Paper,28.45,3.87,86,1.08,78,53.45
51,Mushroom Mycelium Foam,Bio,46.92,3.45,78,1.48,64,94.23
52,Cassava Starch Film,Bio,23.87,2.34,79,1.62,51,83.45
53,Cocoa Pod Husk Fiber,Fiber,39.23,4.28,82,1.28,72,70.56
54,Recycled Textile Fiber,Plastic,54.32,6.87,41,2.52,72,97.34
55,Bio-PE Standard Grade,Bioplastic,45.67,3.12,73,2.05,58,118.67
56,Sugarcane Bagasse Pulp,Paper,30.12,3.56,87,0.99,81,55.23
57,Natural Latex Coating,Composite,41.45,4.15,67,2.22,61,109.45
58,Crustacean Shell Chitin,Bio,40.23,3.02,74,1.88,63,106.78
59,Seaweed Polysaccharide,Bio,43.78,3.28,80,1.42,70,100.34
60,Fruit Waste Fiber Composite,Fiber,37.45,4.82,83,1.35,75,69.67
61,Corn Husks Compressed,Paper,29.67,3.72,85,1.12,77,54.56
62,Rice Straw Fiber Board,Fiber,38.92,4.45,81,1.38,71,73.45
63,Coconut Coir Mat,Fiber,41.23,4.78,80,1.32,73,75.23
64,Recycled Nylon Fiber,Plastic,56.78,7.23,39,2.65,73,99.56
65,Bio-Polybutylene Succinate,Bioplastic,46.34,2.98,71,2.12,56,120.45
66,Wheat Straw Board,Paper,27.23,3.34,87,1.05,79,52.34
67,Soy Protein Coating,Bio,42.45,2.92,72,1.78,65,114.67
68,Shrimp Shell Derivative,Bio,39.87,3.15,73,1.92,62,107.23
69,Kelp-based Film,Bio,44.56,2.78,79,1.55,69,101.45
70,Pineapple Leaf Fiber,Fiber,40.12,4.67,81,1.28,72,71.89
71,Banana Stem Fiber,Fiber,38.67,4.92,82,1.32,74,72.34
72,Flax Seed Resin,Composite,49.23,3.98,63,2.08,61,93.67
73,Sunflower Husk Material,Fiber,37.89,4.45,83,1.25,75,70.45
74,Recycled PET Clear,Plastic,53.45,8.12,43,2.48,72,95.78
75,Bio-PCL Polymer,Bioplastic,47.67,2.87,70,2.15,55,119.23
76,Hemp Hurd Filler,Composite,44.32,4.23,65,1.95,64,92.45
77,Pea Protein Film,Bio,36.45,2.45,75,1.82,66,110.56
78,Mollusk Shell Powder,Composite,48.23,3.82,46,2.72,68,112.34
79,Brown Algae Extract,Bio,42.78,3.12,78,1.58,68,103.67
80,Palm Leaf Plate Material,Fiber,39.45,4.67,80,1.38,71,72.56
81,Water Hyacinth Weave,Fiber,36.12,4.32,81,1.42,70,68.45
82,Birch Bark Fiber,Fiber,40.87,4.78,82,1.28,72,74.23
83,Yak Wool Padding,Fiber,43.23,5.45,79,1.52,73,82.34
84,Recycled ABS Plastic,Plastic,57.34,7.67,38,2.58,71,101.23
85,Polylactic Acid Standard,Bioplastic,44.23,2.67,74,2.22,59,121.67
86,Spent Coffee Ground Filler,Composite,41.56,3.98,64,2.12,62,89.45
87,Whey Protein Coating,Bio,38.92,2.78,73,1.88,67,115.23
88,Crab Shell Waste,Bio,40.34,3.45,75,1.95,64,108.56
89,Red Algae Agar,Bio,45.67,3.02,78,1.52,69,104.34
90,Teak Leaf Material,Fiber,41.92,4.98,80,1.35,71,73.67
91,Recycled LDPE Film,Plastic,52.78,7.92,42,2.62,72,98.45
92,Chitosan Coating Spray,Bio,43.45,2.98,74,1.78,65,113.78
93,Date Palm Fiber,Fiber,39.67,4.45,82,1.32,74,71.34
94,Typha Cattail Board,Paper,26.45,3.28,86,1.10,78,51.23
95,Cattail Fiber Composite,Fiber,37.23,4.67,81,1.38,73,69.56
96,Kapok Fiber Padding,Fiber,35.89,5.23,83,1.22,81,67.45
97,Abaca Leaf Fiber,Fiber,42.34,4.12,80,1.42,71,74.89
98,Water Chestnut Husk,Fiber,38.45,4.78,82,1.28,75,70.12
99,Sisal Twine Wrap,Fiber,41.67,4.32,81,1.35,72,73.23
100,Jute Geotextile,Fiber,40.23,4.65,80,1.40,70,72.45
