material_id,material_name,predicted_cost,predicted_co2,actual_cost,actual_co2,cost_rank,co2_rank,combined_score,overall_rank
14,Paper Mache Molded,53.03248777056276,1.055605,48.92,0.95,3.0,4.5,3.75,1.0
45,Recycled Paper Mixed Fiber,53.327943008658,1.055605,51.67,0.96,4.0,4.5,4.25,2.0
13,Cellulose Film Standard,53.730719675324664,1.055605,52.45,1.02,5.0,4.5,4.75,3.0
66,Wheat Straw Board,52.65934110389608,1.1034685,52.34,1.05,1.0,9.5,5.25,4.0
56,Sugarcane Bagasse Pulp,55.08611857142855,1.055605,55.23,0.99,8.0,4.5,6.25,5.0
36,Bagasse Pulp Board,55.960044761904754,1.055605,56.78,0.98,10.0,4.5,7.25,6.0
94,Typha Cattail Board,52.79211681818181,1.1480145,51.23,1.1,2.0,13.0,7.5,7.0
2,Kraft Paper,56.654618095238085,1.055605,58.42,0.98,11.0,4.5,7.75,8.0
22,Hemp Paper Industrial,54.888941527176506,1.1034685,54.32,1.05,7.0,9.5,8.25,9.0
50,Grass-Based Board Material,54.284783961038954,1.1295773,53.45,1.08,6.0,11.5,8.75,10.0
3,Molded Pulp Tray,69.34898701689235,1.055605,71.34,0.92,14.0,4.5,9.25,11.0
61,Corn Husks Compressed,55.81064105098604,1.1656868,54.56,1.12,9.0,14.5,11.75,12.0
1,Recycled Corrugated Cardboard,61.73446927473402,1.2224879,62.15,1.18,12.0,16.5,14.25,13.0
29,Recycled Cotton Padding,71.23921462215745,1.2224879,69.45,1.18,16.0,16.5,16.25,14.0
96,Kapok Fiber Padding,71.23921462215745,1.2608892,67.45,1.22,16.0,18.5,17.25,15.5
49,Potato Fiber Padding,71.23921462215745,1.2608892,68.34,1.22,16.0,18.5,17.25,15.5
73,Sunflower Husk Material,71.55396795549079,1.2881534,70.45,1.25,20.5,20.5,20.5,17.0
98,Water Chestnut Husk,71.55396795549079,1.3155434,70.12,1.28,20.5,24.0,22.25,18.5
53,Cocoa Pod Husk Fiber,71.55396795549079,1.3155434,70.56,1.28,20.5,24.0,22.25,18.5
33,Coconut Husk Fiber Pad,71.74004311782846,1.2881534,71.23,1.25,24.5,20.5,22.5,20.0
70,Pineapple Leaf Fiber,71.83083303379485,1.3155434,71.89,1.28,26.0,24.0,25.0,21.0
21,Jute Fiber Bag Natural,71.96951355433639,1.3155434,72.45,1.28,28.0,24.0,26.0,22.0
60,Fruit Waste Fiber Composite,71.55396795549079,1.3746425,69.67,1.35,20.5,32.5,26.5,23.5
93,Date Palm Fiber,71.74004311782846,1.3518157,71.34,1.32,24.5,28.5,26.5,23.5
12,Seaweed Fiber Wrap,82.59700899749377,1.1656868,85.34,1.12,40.0,14.5,27.25,25.0
24,Reed Weave Tray,68.9411607761009,1.4364346,64.23,1.42,13.0,42.5,27.75,26.0
71,Banana Stem Fiber,71.96951355433639,1.3518157,72.34,1.32,28.0,28.5,28.25,27.0
95,Cattail Fiber Composite,71.55396795549079,1.3989041,69.56,1.38,20.5,36.5,28.5,28.0
82,Birch Bark Fiber,72.56978532344962,1.3155434,74.23,1.28,34.0,24.0,29.0,29.0
9,Sugarcane Bagasse Box,93.01853659908717,1.1295773,91.56,1.08,49.0,11.5,30.25,30.0
81,Water Hyacinth Weave,71.55396795549079,1.4364346,68.45,1.42,20.5,42.5,31.5,31.0
80,Palm Leaf Plate Material,71.96951355433639,1.3989041,72.56,1.38,28.0,36.5,32.25,32.5
63,Coconut Coir Mat,73.28493234624165,1.3518157,75.23,1.32,36.0,28.5,32.25,32.5
90,Teak Leaf Material,72.34806365678295,1.3746425,73.67,1.35,32.5,32.5,32.5,34.5
99,Sisal Twine Wrap,72.34806365678295,1.3746425,73.23,1.35,32.5,32.5,32.5,34.5
47,Algae Fiber Board,73.74056006296937,1.3518157,76.78,1.32,39.0,28.5,33.75,36.5
62,Rice Straw Fiber Board,72.25727374081657,1.3989041,73.45,1.38,31.0,36.5,33.75,36.5
100,Jute Geotextile,72.06030347030277,1.4175272,72.45,1.4,30.0,39.0,34.5,38.0
23,Flax-based Container,73.5523314915408,1.3746425,78.56,1.35,37.0,32.5,34.75,39.0
97,Abaca Leaf Fiber,73.07861889487819,1.4364346,74.89,1.42,35.0,42.5,38.75,40.0
7,Bamboo Fiber Box,106.9119475870449,1.055605,108.23,0.82,75.0,4.5,39.75,41.0
83,Yak Wool Padding,82.80615809523813,1.5274976,82.34,1.52,41.0,47.5,44.25,42.0
11,Mushroom-Based Packaging,91.44083382130937,1.4364346,89.67,1.45,47.0,42.5,44.75,43.0
32,Potato Starch Film Biodegradable,82.92512952380957,1.5549724,82.67,1.55,42.5,49.5,46.0,44.0
16,Starch-based Foam Peanuts,73.68688978304962,1.741847,76.54,1.75,38.0,56.0,47.0,45.0
